"NOMBRES MÁS POPULARES DE MUJER, 2021",,,,,,"NOMBRES MÁS POPULARES DE HOMBRE, 2021",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
255,SOFIA ELIZABETH,MUJER,295,,,255,LUIS SANTIAGO,HOMBRE,412
256,DIANA SOFIA,MUJER,294,,,256,IKER ALEXANDER,HOMBRE,411
257,FRANCISCA,MUJER,294,,,257,MATEO ALEJANDRO,HOMBRE,411
258,LAURA,MUJER,293,,,258,JAZIEL,HOMBRE,407
259,ROSALINDA,MUJER,293,,,259,ELISEO,HOMBRE,401
260,ARANTZA,MUJER,290,,,260,MATIAS ALEJANDRO,HOMBRE,401
261,IVANA,MUJER,290,,,261,EFRAIN,HOMBRE,399
262,LUNA,MUJER,290,,,262,IKER SANTIAGO,HOMBRE,397
263,CATALEYA,MUJER,289,,,263,ANDER,HOMBRE,396
264,MELANI,MUJER,289,,,264,AXEL DANIEL,HOMBRE,395
265,ANA VALERIA,MUJER,287,,,265,ROMAN,HOMBRE,394
266,EMMA VALENTINA,MUJER,283,,,266,CARLOS GAEL,HOMBRE,392
267,ERIKA,MUJER,283,,,267,OSVALDO,HOMBRE,392
268,SOPHIA,MUJER,282,,,268,GONZALO,HOMBRE,390
269,PAULETTE,MUJER,278,,,269,JARED,HOMBRE,388
270,BERENICE,MUJER,275,,,270,GILBERTO,HOMBRE,387
271,LIA ISABELLA,MUJER,275,,,271,OCTAVIO,HOMBRE,387
272,YOLANDA,MUJER,273,,,272,CARLOS SANTIAGO,HOMBRE,380
273,ANDREA GUADALUPE,MUJER,272,,,273,DARIEL,HOMBRE,379
274,MARIA INES,MUJER,272,,,274,LOGAN,HOMBRE,379
275,MARIAN,MUJER,272,,,275,JUAN JESUS,HOMBRE,378
276,CLAUDIA,MUJER,271,,,276,GIOVANNI,HOMBRE,377
277,LUNA SOFIA,MUJER,271,,,277,LUIS MANUEL,HOMBRE,377
278,KEYLA,MUJER,270,,,278,ANGEL DAMIAN,HOMBRE,376
279,ARIADNE,MUJER,269,,,279,JOSE FERNANDO,HOMBRE,375
280,GIANNA,MUJER,269,,,280,DANIEL ALEXANDER,HOMBRE,370
281,PAULA SOFIA,MUJER,268,,,281,JOSE PABLO,HOMBRE,368
282,ANA LAURA,MUJER,267,,,282,CARLOS MANUEL,HOMBRE,366
283,MARIA BELEN,MUJER,266,,,283,ALAN GAEL,HOMBRE,363
284,KEILY,MUJER,265,,,284,ANGEL ANTONIO,HOMBRE,362
285,MANUELA,MUJER,264,,,285,EMIR,HOMBRE,361
286,HANNAH,MUJER,263,,,286,JUAN ANGEL,HOMBRE,361
287,RUBI,MUJER,261,,,287,ALDO,HOMBRE,358
288,ITZEL GUADALUPE,MUJER,260,,,288,ISAI,HOMBRE,357
289,LUCIA FERNANDA,MUJER,260,,,289,JOSE LEONARDO,HOMBRE,355
290,MARIELA,MUJER,260,,,290,DAVID ALEJANDRO,HOMBRE,354
291,WENDY,MUJER,256,,,291,IKER DANIEL,HOMBRE,353
292,AYLIN GUADALUPE,MUJER,255,,,292,CRISTOBAL,HOMBRE,348
293,CELESTE,MUJER,255,,,293,ALAN MATEO,HOMBRE,347
294,ROXANA,MUJER,254,,,294,JOHAN,HOMBRE,347
295,AMAIA,MUJER,253,,,295,LUIS GERARDO,HOMBRE,345
296,ANGELA GUADALUPE,MUJER,253,,,296,ELIEL,HOMBRE,344
297,MICAELA,MUJER,251,,,297,ANGEL MANUEL,HOMBRE,343
298,NATHALIA,MUJER,251,,,298,JOSE JUAN,HOMBRE,340
299,GLORIA,MUJER,249,,,299,CARLOS MATEO,HOMBRE,339
300,JACQUELINE,MUJER,249,,,300,JESUS GABRIEL,HOMBRE,339
301,VANESA,MUJER,249,,,301,JOSE MATIAS,HOMBRE,338
302,LUZ ELENA,MUJER,248,,,302,LORENZO,HOMBRE,338
303,MARCELA,MUJER,248,,,303,LUIS GAEL,HOMBRE,336
304,LESLIE,MUJER,247,,,304,ORLANDO,HOMBRE,335
305,AMAIRANY,MUJER,245,,,305,DIEGO ARMANDO,HOMBRE,333
306,EVA,MUJER,245,,,306,DYLAN ALEJANDRO,HOMBRE,333
307,LIA GUADALUPE,MUJER,244,,,307,DYLAN SANTIAGO,HOMBRE,333
308,MELINA,MUJER,243,,,308,JOSE ALEXANDER,HOMBRE,333
309,ALEXA VALENTINA,MUJER,242,,,309,ANGEL SEBASTIAN,HOMBRE,330
310,ALINA,MUJER,242,,,310,JULIO,HOMBRE,330
311,DAYANA GUADALUPE,MUJER,241,,,311,JUAN LUIS,HOMBRE,329
312,MARLEN,MUJER,241,,,312,SANTIAGO GAEL,HOMBRE,327
313,JAQUELINE,MUJER,238,,,313,WILLIAM,HOMBRE,326
314,CARMEN,MUJER,236,,,314,ETHAN,HOMBRE,325
315,CITLALI,MUJER,236,,,315,LIAM EDUARDO,HOMBRE,325
316,KENDRA,MUJER,233,,,316,ERICK DANIEL,HOMBRE,324
317,JOHANA,MUJER,232,,,317,ARIEL,HOMBRE,322
318,MEREDITH,MUJER,231,,,318,JUAN DAVID,HOMBRE,322
319,YESENIA,MUJER,231,,,319,TADEO DE JESUS,HOMBRE,322
320,FERNANDA GUADALUPE,MUJER,230,,,320,ERIK,HOMBRE,319
321,FERNANDA SOFIA,MUJER,229,,,321,RODOLFO,HOMBRE,314
322,INES,MUJER,229,,,322,ANGEL ADRIAN,HOMBRE,313
323,KARIME,MUJER,227,,,323,RAMIRO,HOMBRE,312
324,MARITZA,MUJER,226,,,324,LUCA,HOMBRE,308
