Step,AgentID,Wealth,Steps_not_given
9,81,1,0
9,5,0,8
9,87,3,0
9,20,0,3
9,66,0,1
9,40,4,0
9,91,2,0
9,32,2,0
9,42,1,0
9,31,0,5
9,90,0,1
9,96,0,6
9,2,1,0
9,53,0,3
9,8,1,5
9,88,1,0
9,19,0,0
9,95,0,0
9,54,1,6
9,44,0,3
9,63,2,0
9,30,0,2
9,98,0,0
9,28,1,0
9,34,0,3
9,3,2,1
9,1,0,4
9,9,1,8
9,59,1,8
9,0,0,2
9,69,0,0
9,29,0,7
9,84,2,0
9,45,0,3
9,76,0,1
9,38,1,0
10,55,1,9
10,98,0,1
10,46,0,0
10,47,0,3
10,74,1,5
10,31,0,6
10,51,2,1
10,21,3,0
10,6,1,4
10,49,0,3
10,82,2,0
10,69,1,1
10,71,2,1
10,7,0,2
10,41,1,0
10,26,2,3
10,53,0,4
10,18,1,8
10,13,1,1
10,60,0,1
10,68,1,6
10,84,1,0
10,90,0,2
10,91,2,0
10,0,0,3
10,64,1,0
10,36,0,7
10,58,0,0
10,23,4,0
10,22,2,2
10,35,0,7
10,4,1,1
10,95,0,1
10,77,1,1
10,73,1,0
10,81,1,1
10,38,1,0
10,72,0,0
10,87,4,1
10,76,0,2
10,79,0,9
10,54,1,0
10,57,1,7
10,92,0,8
10,59,1,0
10,75,0,3
10,62,1,0
10,5,0,9
10,66,0,2
10,20,1,4
10,97,0,4
10,63,1,0
10,70,0,0
10,85,0,3
10,56,1,1
10,27,3,0
10,14,5,5
10,93,1,1
10,34,0,4
10,83,0,1
10,96,0,7
10,15,0,0
10,50,3,2
10,24,1,0
10,43,4,0
10,61,1,2
10,10,2,0
10,17,2,1
10,11,1,7
10,30,0,3
10,37,1,0
10,88,1,0
10,9,1,9
10,12,0,6
10,40,4,0
10,52,0,5
10,86,3,0
10,99,2,0
10,1,0,5
10,29,0,8
10,33,0,4
10,78,0,1
10,3,2,2
10,16,2,0
10,19,0,1
10,67,1,6
10,8,0,0
10,89,1,0
10,32,2,1
10,80,1,0
10,28,3,1
10,44,0,4
10,94,5,0
10,2,0,0
10,42,0,0
10,65,0,0
10,45,0,4
10,39,0,0
10,48,1,0
10,25,2,0
11,92,0,9
11,45,0,5
11,59,1,1
11,13,1,2
11,73,1,1
11,46,0,1
11,47,1,4
11,30,0,4
11,3,1,0
11,98,1,2
11,21,3,0
11,25,1,0
11,69,3,2
11,22,2,0
11,32,2,2
11,41,1,1
11,11,0,0
11,82,1,0
11,0,0,4
11,79,0,10
11,55,0,0
11,23,4,0
11,16,1,0
11,40,3,0
11,91,1,0
11,4,1,2
11,52,0,6
11,95,0,2
11,76,0,3
11,28,3,0
11,57,1,8
11,6,1,5
11,90,1,3
11,48,0,0
11,87,4,0
11,74,2,0
11,75,1,4
11,80,1,1
11,72,0,1
11,5,0,10
11,97,0,0
11,58,1,1
11,37,1,1
11,81,1,2
11,12,0,7
11,43,5,0
11,7,1,3
11,62,3,1
11,24,1,0
11,70,0,1
11,39,1,1
11,89,1,1
11,36,0,8
11,10,2,0
11,26,2,4
11,29,0,9
11,67,1,7
11,38,2,1
11,63,0,0
11,2,0,1
11,85,0,4
11,51,1,0
11,66,0,3
11,86,2,0
11,31,0,7
11,60,1,2
11,9,1,10
11,42,0,1
11,19,0,2
11,77,0,0
11,17,1,0
11,18,1,0
11,68,1,0
11,33,0,5
11,56,0,0
11,34,1,0
11,64,1,0
11,88,1,0
11,49,0,4
11,84,1,0
11,20,1,5
11,35,0,8
11,15,0,1
11,78,0,2
11,93,0,0
11,65,0,1
11,53,0,5
11,99,3,1
11,83,0,2
11,96,0,8
11,94,5,1
11,44,0,5
11,71,2,0
11,61,1,3
11,54,0,0
11,50,3,3
11,14,5,0
11,1,0,6
11,27,3,0
11,8,0,1
12,13,0,0
12,12,0,8
12,60,0,0
12,42,0,2
12,55,0,1
12,64,1,0
12,58,1,2
12,67,1,8
12,35,0,9
12,10,1,0
12,28,3,1
12,41,1,0
12,73,1,2
12,84,0,0
12,78,1,3
12,22,2,0
12,19,1,0
12,70,0,2
12,68,0,0
12,45,1,6
12,5,0,11
12,24,2,0
12,76,0,4
12,61,1,0
12,14,6,1
12,8,0,2
12,49,0,5
12,69,3,0
12,15,1,2
12,91,1,1
12,88,0,0
12,50,3,4
12,56,0,1
12,20,2,6
12,9,0,0
12,0,0,5
12,44,0,6
12,36,0,9
12,54,0,1
12,87,4,0
12,98,1,0
12,65,0,2
12,31,0,8
12,82,2,1
12,29,0,10
12,79,0,11
12,95,1,3
12,52,0,7
12,23,3,0
12,43,4,0
12,51,1,0
12,33,0,6
12,26,2,5
12,3,2,0
12,32,2,0
12,30,0,5
12,94,4,0
12,85,0,5
12,48,0,1
12,46,0,2
12,66,1,4
12,63,0,1
12,97,0,1
12,2,0,2
12,74,2,1
12,11,1,0
12,27,2,0
12,25,1,1
12,6,2,6
12,39,0,0
12,80,1,2
12,4,0,0
12,18,1,1
12,81,1,0
12,71,2,0
12,75,1,0
12,72,0,2
12,62,2,0
12,99,2,0
12,21,3,0
12,47,2,5
12,38,2,2
12,17,1,0
12,86,2,0
12,57,1,0
12,16,0,0
12,93,1,0
12,37,0,0
12,34,2,0
12,83,0,3
12,40,3,1
12,96,0,9
12,77,0,1
12,90,1,0
12,92,0,10
12,53,1,0
12,89,1,0
12,1,1,0
12,7,0,0
12,59,1,2
13,94,3,0
13,97,0,2
13,3,1,0
13,81,1,1
13,10,0,0
13,60,0,1
13,41,0,0
13,58,1,0
13,42,0,3
13,24,2,0
13,5,0,12
13,76,0,5
13,56,0,2
13,86,2,1
13,49,1,6
13,4,1,1
13,63,0,2
13,87,5,1
13,28,2,0
13,38,1,0
13,2,0,3
13,90,1,0
13,27,2,1
13,50,3,5
13,34,1,0
13,25,1,2
13,73,0,0
13,39,0,1
13,29,0,11
13,72,0,3
13,31,0,9
13,51,2,0
13,40,4,2
13,16,0,1
13,95,1,0
13,62,2,1
13,0,1,6
13,83,1,4
13,15,1,0
13,20,2,7
13,36,0,10
13,74,2,2
13,23,3,0
13,14,6,2
13,59,1,0
13,89,1,0
13,79,1,12
13,11,0,0
13,65,1,3
13,57,1,1
13,21,3,0
13,37,0,1
13,96,0,10
13,45,2,0
13,17,1,0
13,52,0,8
13,98,0,0
13,91,1,2
13,35,0,10
13,8,2,3
13,30,0,6
13,7,0,1
13,9,0,1
13,80,1,3
13,13,0,1
13,26,1,0
13,55,0,2
13,53,1,0
13,33,0,7
13,48,0,2
13,66,1,0
13,1,1,1
13,47,2,6
13,69,4,0
13,82,2,2
13,71,1,0
13,70,0,3
13,22,2,0
13,43,4,1
13,75,0,0
13,12,2,9
13,68,0,1
13,84,0,1
13,78,0,0
13,32,1,0
13,93,1,1
13,61,0,0
13,46,0,3
13,67,0,0
13,77,0,2
13,92,0,11
13,19,1,0
13,44,0,7
13,85,1,6
13,88,0,1
13,6,3,0
13,99,1,0
13,18,2,0
13,64,1,0
13,54,0,2
14,63,0,3
14,3,1,0
14,71,0,0
14,68,0,2
